iter	Logloss
0	0.2251413176
1	0.1886532037
2	0.1722785348
3	0.1636969616
4	0.1541209397
5	0.1478203041
6	0.1435360398
7	0.1382211283
8	0.1359850301
9	0.1325462188
10	0.1309786306
11	0.1279102341
12	0.1257626004
13	0.1237708637
14	0.1217085276
15	0.1199482532
16	0.1168946621
17	0.1153398185
18	0.1141658066
19	0.1126697714
20	0.1115869509
21	0.1100995171
22	0.1078946011
23	0.1062437638
24	0.1037908434
25	0.1027890008
26	0.1021685019
27	0.100892301
28	0.09976771596
29	0.09878917193
30	0.09699242045
31	0.09640514221
32	0.09600637997
33	0.09478613962
34	0.0940177824
35	0.09343224194
36	0.09237698194
37	0.09136061854
38	0.09111108329
39	0.09053935141
40	0.08955209462
41	0.08913877707
42	0.08834094213
43	0.08771709422
44	0.08769631511
45	0.08699133968
46	0.08643193116
47	0.08586483543
48	0.08504711157
49	0.08420963959
50	0.08349043145
51	0.08275949312
52	0.08185881071
53	0.08119602691
54	0.08055038993
55	0.08024311376
56	0.07962354195
57	0.0790499517
58	0.07855827098
59	0.07815840732
60	0.07771633058
61	0.07716383431
62	0.07689615744
63	0.07669918878
64	0.07617679775
65	0.07591717678
66	0.07539308454
67	0.07497468699
68	0.07449724149
69	0.0742822566
70	0.07381668395
71	0.07346707332
72	0.07335245757
73	0.07268263698
74	0.07199351132
75	0.07168917911
76	0.07118467868
77	0.07048482321
78	0.06985023922
79	0.06932378089
80	0.06883030394
81	0.06851489168
82	0.06820451397
83	0.06789118514
84	0.06751106462
85	0.06706608399
86	0.06673539725
87	0.06654949517
88	0.06595149448
89	0.06565713486
90	0.06530054159
91	0.06501913922
92	0.06479337193
93	0.06478833186
94	0.06445948274
95	0.0643082285
96	0.06382124706
97	0.06368248579
98	0.063505351
99	0.06337018635
100	0.06304595832
101	0.06273718613
102	0.06232922461
103	0.06219533876
104	0.0621178774
105	0.06189927126
106	0.06171053621
107	0.06119208594
108	0.0608736465
109	0.06055894589
110	0.06039496324
111	0.05994527068
112	0.05954694584
113	0.05912835608
114	0.05877274868
115	0.05855995678
116	0.05778276328
117	0.05731706366
118	0.056964995
119	0.05662035402
120	0.05643582973
121	0.05619549737
122	0.0559285539
123	0.055834717
124	0.05550661152
125	0.05535797019
126	0.05484776255
127	0.05454523266
128	0.05423804784
129	0.053810057
130	0.05361636668
131	0.05333020523
132	0.05329007638
133	0.05307521748
134	0.05277538054
135	0.05275926967
136	0.05245968001
137	0.05211294467
138	0.05196495739
139	0.05165315211
140	0.05143209552
141	0.05142639543
142	0.05113880113
143	0.05086422575
144	0.05063337359
145	0.05037666924
146	0.05017433841
147	0.04991283973
148	0.04983123003
149	0.04975112632
150	0.04960132607
151	0.04955025461
152	0.04931984481
153	0.04915919377
154	0.04915914318
155	0.04909284675
156	0.04888707024
157	0.04870665657
158	0.04861709621
159	0.04841816563
160	0.04817889336
161	0.04791982882
162	0.04774551994
163	0.04746413875
164	0.04723422306
165	0.04716286306
166	0.0468600544
167	0.04650002004
168	0.04627483268
169	0.04601237292
170	0.0458537243
171	0.04563281935
172	0.04534284383
173	0.04512549897
174	0.04478252115
175	0.04444773668
176	0.04412451119
177	0.043813647
178	0.04371228758
179	0.04322153088
180	0.0430730166
181	0.04270619272
182	0.04250920241
183	0.04238034022
184	0.04216122814
185	0.04192172995
186	0.04172628074
187	0.04149930335
188	0.04141266844
189	0.04118337159
190	0.04081933413
191	0.04068904016
192	0.04056994577
193	0.04036105162
194	0.04023562885
195	0.04010876792
196	0.03979492203
197	0.03946992642
198	0.03915244277
199	0.03903276074
200	0.03881241993
201	0.03856838931
202	0.03833360354
203	0.03820589136
204	0.0380042844
205	0.03800382921
