iter	Passed	Remaining
401	14510	21584
402	14547	21551
403	14601	21540
404	14639	21507
405	14669	21461
406	14700	21418
407	14735	21380
408	14763	21332
409	14802	21300
410	14842	21269
411	14866	21217
412	14898	21174
413	14925	21126
414	14965	21095
415	15004	21064
416	15044	21033
417	15080	20997
418	15120	20966
419	15158	20933
420	15194	20896
421	15226	20855
422	15265	20823
423	15299	20784
424	15330	20740
425	15363	20701
426	15395	20659
427	15435	20628
428	15472	20593
429	15509	20558
430	15543	20520
431	15569	20471
432	15598	20425
433	15628	20381
434	15659	20338
435	15713	20326
436	15750	20291
437	15787	20256
438	15818	20214
439	15848	20170
440	15884	20134
441	15924	20103
442	15959	20065
443	15990	20023
444	16021	19981
445	16053	19940
446	16077	19889
447	16111	19851
448	16144	19811
449	16170	19763
450	16196	19716
451	16221	19666
452	16247	19619
453	16274	19571
454	16301	19525
455	16327	19478
456	16358	19437
457	16383	19388
458	16418	19351
459	16448	19309
460	16484	19273
461	16515	19232
462	16551	19197
463	16587	19161
464	16625	19128
465	16658	19089
466	16689	19047
467	16728	19015
468	16762	18978
469	16811	18957
470	16845	18920
471	16883	18886
472	16917	18848
473	16947	18807
474	16990	18778
475	17027	18744
476	17061	18706
477	17094	18667
478	17128	18630
479	17157	18587
480	17191	18549
481	17226	18513
482	17260	18475
483	17295	18439
484	17336	18408
485	17372	18373
486	17407	18337
487	17446	18304
488	17487	18274
489	17513	18228
490	17543	18186
491	17571	18143
492	17600	18100
493	17625	18053
494	17655	18012
495	17689	17974
496	17718	17932
497	17753	17896
498	17784	17855
499	17809	17809
500	17839	17768
501	17873	17731
502	17901	17688
503	17937	17652
504	17959	17604
505	17988	17561
506	18018	17520
507	18050	17482
508	18091	17451
509	18149	17437
510	18181	17399
511	18217	17363
512	18255	17329
513	18283	17287
514	18314	17247
515	18363	17224
516	18387	17177
517	18429	17148
518	18467	17115
519	18490	17068
520	18530	17036
521	18567	17001
522	18604	16968
523	18629	16923
524	18672	16893
525	18695	16847
526	18723	16804
527	18767	16777
528	18798	16737
529	18825	16694
530	18860	16658
531	18883	16611
532	18913	16571
533	18950	16537
534	18990	16505
535	19024	16469
536	19052	16427
537	19078	16383
538	19105	16340
539	19132	16298
540	19160	16256
541	19186	16212
542	19217	16173
543	19257	16142
544	19284	16100
545	19310	16057
546	19338	16015
547	19366	15973
548	19396	15933
549	19421	15890
550	19454	15852
551	19483	15813
552	19510	15770
553	19537	15729
554	19565	15687
555	19591	15644
556	19618	15602
557	19644	15561
558	19672	15520
559	19704	15482
560	19732	15441
561	19760	15400
562	19787	15358
563	19814	15317
564	19840	15275
565	19868	15234
566	19899	15196
567	19928	15157
568	19954	15114
569	19989	15079
570	20021	15042
571	20053	15004
572	20085	14967
573	20118	14930
574	20172	14910
575	20212	14878
576	20246	14842
577	20280	14807
578	20307	14765
579	20346	14733
580	20377	14695
581	20407	14656
582	20436	14617
583	20464	14577
584	20494	14538
585	20523	14499
586	20560	14465
587	20590	14427
588	20621	14389
589	20654	14353
590	20683	14313
591	20712	14274
592	20741	14235
593	20771	14197
594	20810	14164
595	20842	14128
596	20872	14090
597	20903	14052
598	20933	14013
599	20961	13974
600	20991	13936
601	21045	13913
602	21076	13876
603	21106	13837
604	21134	13798
605	21165	13760
606	21201	13726
607	21237	13692
608	21273	13658
609	21309	13624
610	21346	13590
611	21376	13552
612	21407	13515
613	21455	13488
614	21482	13448
615	21511	13409
616	21543	13373
617	21574	13336
618	21606	13299
619	21638	13262
620	21674	13228
621	21719	13199
622	21749	13161
623	21774	13120
624	21800	13080
625	21827	13040
626	21856	13002
627	21896	12970
628	21949	12946
629	21976	12906
630	22010	12871
631	22042	12834
632	22080	12801
633	22118	12768
634	22154	12734
635	22186	12698
636	22220	12662
637	22245	12621
638	22275	12584
639	22305	12547
640	22335	12509
641	22368	12473
642	22399	12436
643	22427	12397
644	22457	12360
645	22487	12322
646	22520	12287
647	22549	12249
648	22584	12214
649	22614	12177
650	22644	12139
651	22673	12101
652	22703	12064
